date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2013-06-03,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-04,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-05,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-06,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-07,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-13,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-14,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-17,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-18,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-19,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-20,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-21,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-24,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-25,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-26,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-27,1.0,1.0,1.0,1.0,1.0,1.0
2013-06-28,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-01,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-02,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-03,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-04,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-05,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-08,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-09,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-10,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-11,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-12,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-15,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-16,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-17,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-18,1.0,1.0,1.0,1.0,1.0,1.0
2013-07-19,1.0,1.0,1.0,1.0,1.0,1.0
