wa,wm,wf4,全区间,训练段,验证段
0.7,0.05,0.25,0.1020104086665421,0.09180470379206884,0.1309688893581309
0.65,0.05,0.3,0.10290075883722527,0.0929344129050409,0.1315910157995408
0.6,0.05,0.35,0.10306537612320787,0.09377246443846943,0.1305688067442774
0.55,0.05,0.4,0.1041032780116109,0.09579077708149786,0.13013560522556378
0.5,0.05,0.45,0.10525008982121786,0.09794501947421685,0.12973654318162153
0.45,0.05,0.5,0.10363361214213485,0.09547415810595261,0.12946003862262545
0.4,0.05,0.55,0.1039164355302058,0.0966948733378783,0.12814286847366607
0.65,0.1,0.25,0.09982268473477118,0.09083073784627582,0.1264505458069003
0.6,0.1,0.3,0.1016639077939574,0.09429799268034267,0.12565127163427747
0.55,0.1,0.35,0.1020788362255125,0.09481509076838224,0.12606644236723885
0.5,0.1,0.4,0.10263616867032743,0.09586744418027404,0.1258735899410819
0.45,0.1,0.45,0.10334045877827558,0.09660153839202024,0.12667725745626712
0.4,0.1,0.5,0.10401639559443177,0.09797711863780822,0.12622295784474868
0.35,0.1,0.55,0.10256877257056662,0.09573143101017156,0.1259797344264948
0.6,0.15,0.25,0.09831912055014036,0.09060424635381059,0.12255221395146676
0.55,0.15,0.3,0.10096208126401507,0.0936718538171819,0.12484969202183605
0.5,0.15,0.35,0.10046653526600591,0.09339670246315324,0.12392484588916641
0.45,0.15,0.4,0.09909912193049553,0.09315953949089884,0.12046049717867646
0.4,0.15,0.45,0.09906170434111439,0.0932920899855263,0.12021827364275839
0.35,0.15,0.5,0.1001329775101234,0.09371480913466002,0.12260958298809133
0.3,0.15,0.55,0.09979882479358704,0.09288386926079473,0.12305972884257499
0.55,0.2,0.25,0.09435992784624414,0.0866437504348383,0.11813329774360182
0.5,0.2,0.3,0.09738632309591799,0.0898977673339878,0.1211649360761351
0.45,0.2,0.35,0.09797025971892981,0.09105345998870984,0.12093524994791394
0.4,0.2,0.4,0.09835544028681209,0.0921309106335424,0.12012303517843526
0.35,0.2,0.45,0.09859666455368354,0.09237955754967353,0.12037286128744129
0.3,0.2,0.5,0.09770989356770454,0.09189915008926519,0.11873794205795107
0.25,0.2,0.55,0.09600621511458884,0.08930361378496321,0.11839623508830854
0.5,0.25,0.25,0.09155631831133837,0.08466581833018316,0.11363153896090794
0.45,0.25,0.3,0.0928366769638016,0.08622066669704376,0.11457839060882336
0.4,0.25,0.35,0.09386891658447438,0.08834055817216124,0.11386675896448262
0.35,0.25,0.4,0.09405992472130764,0.0892936367135837,0.11282551160559207
0.3,0.25,0.45,0.09326160177918696,0.08858863582295062,0.1117717904082125
0.25,0.25,0.5,0.09353638515809704,0.08891505699139346,0.1119634552981632
0.2,0.25,0.55,0.08981597820846554,0.08453573359515265,0.108903423277112
