date,nav,涨幅%,较本金盈亏
2022-01-04,2997498.97,,-2501.03
2022-01-05,2971336.81,-0.8728,-28663.19
2022-01-06,3001923.97,1.0294,1923.97
2022-01-07,2960035.69,-1.3954,-39964.31
2022-01-10,2986177.67,0.8832,-13822.33
2022-01-11,2995641.91,0.3169,-4358.09
2022-01-12,3035291.21,1.3236,35291.21
2022-01-13,3033640.79,-0.0544,33640.79
2022-01-14,2998496.22,-1.1585,-1503.78
2022-01-17,3029972.37,1.0497,29972.37
2022-01-18,2978820.96,-1.6882,-21179.04
2022-01-19,3006377.45,0.9251,6377.45
2022-01-20,2938103.31,-2.271,-61896.69
2022-01-21,2934027.92,-0.1387,-65972.08
2022-01-24,2911542.05,-0.7664,-88457.95
2022-01-25,2813965.54,-3.3514,-186034.46
2022-01-26,2839704.92,0.9147,-160295.08
2022-01-27,2757719.41,-2.8871,-242280.59
2022-01-28,2810214.28,1.9036,-189785.72
2022-02-07,2844610.4,1.224,-155389.6
2022-02-08,2903361.95,2.0654,-96638.05
2022-02-09,2928837.12,0.8774,-71162.88
2022-02-10,2930439.38,0.0547,-69560.62
2022-02-11,2886764.57,-1.4904,-113235.43
2022-02-14,2905456.53,0.6475,-94543.47
2022-02-15,2900374.65,-0.1749,-99625.35
2022-02-16,2944314.88,1.515,-55685.12
2022-02-17,2927189.91,-0.5816,-72810.09
2022-02-18,2951554.61,0.8324,-48445.39
2022-02-21,2993687.49,1.4275,-6312.51
2022-02-22,2971669.15,-0.7355,-28330.85
2022-02-23,2995836.86,0.8133,-4163.14
2022-02-24,2935270.91,-2.0217,-64729.09
2022-02-25,2962412.14,0.9247,-37587.86
2022-02-28,2952526.76,-0.3337,-47473.24
2022-03-01,2983847.89,1.0608,-16152.11
2022-03-02,3012300.23,0.9535,12300.23
2022-03-03,3029582.56,0.5737,29582.56
2022-03-04,2992541.03,-1.2227,-7458.97
2022-03-07,2967013.38,-0.853,-32986.62
2022-03-08,2888714.51,-2.639,-111285.49
2022-03-09,2853646.01,-1.214,-146353.99
2022-03-10,2898255.29,1.5632,-101744.71
2022-03-11,2918435.89,0.6963,-81564.11
2022-03-14,2855400.48,-2.1599,-144599.52
2022-03-15,2725966.33,-4.533,-274033.67
2022-03-16,2799269.12,2.6891,-200730.88
2022-03-17,2827681.69,1.015,-172318.31
2022-03-18,2879928.92,1.8477,-120071.08
2022-03-21,2924350.44,1.5425,-75649.56
2022-03-22,2929613.7,0.18,-70386.3
2022-03-23,2924376.25,-0.1788,-75623.75
2022-03-24,2897234.02,-0.9281,-102765.98
2022-03-25,2915572.62,0.633,-84427.38
2022-03-28,2913003.7,-0.0881,-86996.3
2022-03-29,2894974.71,-0.6189,-105025.29
2022-03-30,2921461.12,0.9149,-78538.88
2022-03-31,2940396.39,0.6481,-59603.61
2022-04-01,2928597.12,-0.4013,-71402.88
2022-04-06,2979602.26,1.7416,-20397.74
2022-04-07,2916674.03,-2.112,-83325.97
2022-04-08,2898291.39,-0.6303,-101708.61
2022-04-11,2847493.83,-1.7527,-152506.17
2022-04-12,2900924.55,1.8764,-99075.45
2022-04-13,2866674.08,-1.1807,-133325.92
2022-04-14,2888126.99,0.7484,-111873.01
2022-04-15,2842697.4,-1.573,-157302.6
2022-04-18,2860259.8,0.6178,-139740.2
2022-04-19,2885615.74,0.8865,-114384.26
2022-04-20,2877230.01,-0.2906,-122769.99
2022-04-21,2791519.31,-2.9789,-208480.69
2022-04-22,2778713.17,-0.4588,-221286.83
2022-04-25,2597099.88,-6.5359,-402900.12
2022-04-26,2506703.27,-3.4807,-493296.73
2022-04-27,2537059.07,1.211,-462940.93
2022-04-28,2499872.72,-1.4657,-500127.28
2022-04-29,2592122.29,3.6902,-407877.71
2022-05-05,2633386.73,1.5919,-366613.27
2022-05-06,2611441.72,-0.8333,-388558.28
2022-05-09,2657909.38,1.7794,-342090.62
2022-05-10,2685967.01,1.0556,-314032.99
2022-05-11,2682427.05,-0.1318,-317572.95
2022-05-12,2706826.03,0.9096,-293173.97
2022-05-13,2729401.2,0.834,-270598.8
2022-05-16,2743850.18,0.5294,-256149.82
2022-05-17,2734881.42,-0.3269,-265118.58
2022-05-18,2765126.14,1.1059,-234873.86
2022-05-19,2784170.66,0.6887,-215829.34
2022-05-20,2810009.19,0.9281,-189990.81
2022-05-23,2847765.42,1.3436,-152234.58
2022-05-24,2753342.59,-3.3157,-246657.41
2022-05-25,2808974.69,2.0205,-191025.31
2022-05-26,2824635.33,0.5575,-175364.67
2022-05-27,2832367.62,0.2737,-167632.38
2022-05-30,2856128.22,0.8389,-143871.78
2022-05-31,2873589.66,0.6114,-126410.34
2022-06-01,2887003.97,0.4668,-112996.03
2022-06-02,2903109.48,0.5579,-96890.52
2022-06-06,2932541.51,1.0138,-67458.49
2022-06-07,2918139.22,-0.4911,-81860.78
2022-06-08,2913011.8,-0.1757,-86988.2
2022-06-09,2870617.72,-1.4553,-129382.28
2022-06-10,2910091.89,1.3751,-89908.11
2022-06-13,2910739.35,0.0222,-89260.65
2022-06-14,2923119.27,0.4253,-76880.73
2022-06-15,2918666.54,-0.1523,-81333.46
2022-06-16,2929954.29,0.3867,-70045.71
2022-06-17,2932897.83,0.1005,-67102.17
2022-06-20,2963532.55,1.0445,-36467.45
2022-06-21,2960686.87,-0.096,-39313.13
2022-06-22,2940776.39,-0.6725,-59223.61
2022-06-23,2988740.28,1.631,-11259.72
2022-06-24,3009245.54,0.6861,9245.54
2022-06-27,3030701.69,0.713,30701.69
2022-06-28,3083546.65,1.7437,83546.65
2022-06-29,3032900.85,-1.6425,32900.85
2022-06-30,3040513.0,0.251,40513.0
2022-07-01,3031422.29,-0.299,31422.29
2022-07-04,3036279.86,0.1602,36279.86
2022-07-05,3018659.44,-0.5803,18659.44
2022-07-06,2994597.82,-0.7971,-5402.18
2022-07-07,3016190.93,0.7211,16190.93
2022-07-08,3033142.5,0.562,33142.5
2022-07-11,3028004.31,-0.1694,28004.31
2022-07-12,2994909.53,-1.093,-5090.47
2022-07-13,3039486.72,1.4884,39486.72
2022-07-14,3046414.87,0.2279,46414.87
2022-07-15,2989434.28,-1.8704,-10565.72
2022-07-18,3081670.09,3.0854,81670.09
2022-07-19,3123069.63,1.3434,123069.63
2022-07-20,3138373.3,0.49,138373.3
2022-07-21,3132253.1,-0.195,132253.1
2022-07-22,3143139.81,0.3476,143139.81
2022-07-25,3125176.89,-0.5715,125176.89
2022-07-26,3153340.62,0.9012,153340.62
2022-07-27,3179986.97,0.845,179986.97
2022-07-28,3201429.08,0.6743,201429.08
2022-07-29,3197121.97,-0.1345,197121.97
2022-08-01,3202297.43,0.1619,202297.43
2022-08-02,3082756.47,-3.733,82756.47
2022-08-03,3065380.87,-0.5636,65380.87
2022-08-04,3109485.38,1.4388,109485.38
2022-08-05,3136245.31,0.8606,136245.31
2022-08-08,3175362.25,1.2473,175362.25
2022-08-09,3186860.6,0.3621,186860.6
2022-08-10,3198827.2,0.3755,198827.2
2022-08-11,3234294.33,1.1088,234294.33
2022-08-12,3236195.96,0.0588,236195.96
2022-08-15,3247736.1,0.3566,247736.1
2022-08-16,3275792.51,0.8639,275792.51
2022-08-17,3284402.98,0.2629,284402.98
2022-08-18,3287534.33,0.0953,287534.33
2022-08-19,3274233.49,-0.4046,274233.49
2022-08-22,3298064.9,0.7278,298064.9
2022-08-23,3321802.22,0.7197,321802.22
2022-08-24,3252833.53,-2.0762,252833.53
2022-08-25,3258054.6,0.1605,258054.6
2022-08-26,3240362.36,-0.543,240362.36
2022-08-29,3266635.35,0.8108,266635.35
2022-08-30,3267075.06,0.0135,267075.06
2022-08-31,3192382.52,-2.2862,192382.52
2022-09-01,3183609.9,-0.2748,183609.9
2022-09-02,3226089.11,1.3343,226089.11
2022-09-05,3254009.78,0.8655,254009.78
2022-09-06,3284758.63,0.945,284758.63
2022-09-07,3285391.89,0.0193,285391.89
2022-09-08,3262354.52,-0.7012,262354.52
2022-09-09,3251576.57,-0.3304,251576.57
2022-09-13,3268934.98,0.5338,268934.98
2022-09-14,3245078.83,-0.7298,245078.83
2022-09-15,3188808.79,-1.734,188808.79
2022-09-16,3106672.35,-2.5758,106672.35
2022-09-19,3070145.45,-1.1758,70145.45
2022-09-20,3116672.21,1.5155,116672.21
2022-09-21,3140742.66,0.7723,140742.66
2022-09-22,3127174.63,-0.432,127174.63
2022-09-23,3078639.26,-1.5521,78639.26
2022-09-26,3018877.15,-1.9412,18877.15
2022-09-27,3080485.51,2.0408,80485.51
2022-09-28,3026604.88,-1.7491,26604.88
2022-09-29,3005660.5,-0.692,5660.5
2022-09-30,2983974.63,-0.7215,-16025.37
2022-10-10,2947176.65,-1.2332,-52823.35
2022-10-11,2961740.42,0.4942,-38259.58
2022-10-12,3025186.79,2.1422,25186.79
2022-10-13,3059973.77,1.1499,59973.77
2022-10-14,3107240.1,1.5447,107240.1
2022-10-17,3154458.29,1.5196,154458.29
2022-10-18,3167755.65,0.4215,167755.65
2022-10-19,3155584.01,-0.3842,155584.01
2022-10-20,3147877.57,-0.2442,147877.57
2022-10-21,3146793.96,-0.0344,146793.96
2022-10-24,3095126.43,-1.6419,95126.43
2022-10-25,3083444.35,-0.3774,83444.35
2022-10-26,3134962.84,1.6708,134962.84
2022-10-27,3145038.13,0.3214,145038.13
2022-10-28,3044106.26,-3.2092,44106.26
2022-10-31,3078550.21,1.1315,78550.21
2022-11-01,3149115.39,2.2922,149115.39
2022-11-02,3179327.95,0.9594,179327.95
2022-11-03,3186491.02,0.2253,186491.02
2022-11-04,3222441.61,1.1282,222441.61
2022-11-07,3256118.65,1.0451,256118.65
2022-11-08,3264036.61,0.2432,264036.61
2022-11-09,3269830.94,0.1775,269830.94
2022-11-10,3275449.84,0.1718,275449.84
2022-11-11,3295609.96,0.6155,295609.96
2022-11-14,3295160.38,-0.0136,295160.38
2022-11-15,3333857.23,1.1744,333857.23
2022-11-16,3339910.0,0.1816,339910.0
2022-11-17,3363572.35,0.7085,363572.35
2022-11-18,3341559.63,-0.6544,341559.63
2022-11-21,3344852.57,0.0985,344852.57
2022-11-22,3329558.26,-0.4572,329558.26
2022-11-23,3309898.52,-0.5905,309898.52
2022-11-24,3316837.09,0.2096,316837.09
2022-11-25,3310639.8,-0.1868,310639.8
2022-11-28,3303322.41,-0.221,303322.41
2022-11-29,3364134.46,1.8409,364134.46
2022-11-30,3365606.95,0.0438,365606.95
2022-12-01,3376910.42,0.3359,376910.42
2022-12-02,3401903.92,0.7401,401903.92
2022-12-05,3436051.96,1.0038,436051.96
2022-12-06,3418835.2,-0.5011,418835.2
2022-12-07,3425003.85,0.1804,425003.85
2022-12-08,3422563.79,-0.0712,422563.79
2022-12-09,3412657.32,-0.2894,412657.32
2022-12-12,3401174.93,-0.3365,401174.93
2022-12-13,3415068.73,0.4085,415068.73
2022-12-14,3409752.12,-0.1557,409752.12
2022-12-15,3408319.36,-0.042,408319.36
2022-12-16,3387828.8,-0.6012,387828.8
2022-12-19,3314529.25,-2.1636,314529.25
2022-12-20,3304892.31,-0.2907,304892.31
2022-12-21,3291121.6,-0.4167,291121.6
2022-12-22,3247031.12,-1.3397,247031.12
2022-12-23,3235803.28,-0.3458,235803.28
2022-12-26,3272073.3,1.1209,272073.3
2022-12-27,3284355.74,0.3754,284355.74
2022-12-28,3252205.72,-0.9789,252205.72
2022-12-29,3233247.19,-0.5829,233247.19
2022-12-30,3266077.4,1.0154,266077.4
2023-01-03,3313604.47,1.4552,313604.47
2023-01-04,3336878.75,0.7024,336878.75
2023-01-05,3344888.12,0.24,344888.12
2023-01-06,3335054.22,-0.294,335054.22
2023-01-09,3354295.21,0.5769,354295.21
2023-01-10,3342627.18,-0.3479,342627.18
2023-01-11,3320518.97,-0.6614,320518.97
2023-01-12,3325326.31,0.1448,325326.31
2023-01-13,3340073.04,0.4435,340073.04
2023-01-16,3365810.66,0.7706,365810.66
2023-01-17,3362481.27,-0.0989,362481.27
2023-01-18,3386224.56,0.7061,386224.56
2023-01-19,3400387.51,0.4183,400387.51
