date,nav,涨幅%,较本金盈亏
2022-01-04,598092.03,,-1907.97
2022-01-05,595770.94,-0.3881,-4229.06
2022-01-06,598981.33,0.5389,-1018.67
2022-01-07,594707.85,-0.7135,-5292.15
2022-01-10,597197.3,0.4186,-2802.7
2022-01-11,598761.21,0.2619,-1238.79
2022-01-12,602403.48,0.6083,2403.48
2022-01-13,602857.74,0.0754,2857.74
2022-01-14,598241.55,-0.7657,-1758.45
2022-01-17,601184.31,0.4919,1184.31
2022-01-18,595515.0,-0.943,-4485.0
2022-01-19,599257.89,0.6285,-742.11
2022-01-20,592303.49,-1.1605,-7696.51
2022-01-21,592101.53,-0.0341,-7898.47
2022-01-24,589533.15,-0.4338,-10466.85
2022-01-25,579577.63,-1.6887,-20422.37
2022-01-26,582831.34,0.5614,-17168.66
2022-01-27,574080.74,-1.5014,-25919.26
2022-01-28,579611.53,0.9634,-20388.47
2022-02-07,582295.78,0.4631,-17704.22
2022-02-08,590209.12,1.359,-9790.88
2022-02-09,593094.54,0.4889,-6905.46
2022-02-10,594198.77,0.1862,-5801.23
2022-02-11,589632.45,-0.7685,-10367.55
2022-02-14,592112.56,0.4206,-7887.44
2022-02-15,590593.11,-0.2566,-9406.89
2022-02-16,596001.72,0.9158,-3998.28
2022-02-17,593709.17,-0.3847,-6290.83
2022-02-18,596670.49,0.4988,-3329.51
2022-02-21,601506.57,0.8105,1506.57
2022-02-22,599231.71,-0.3782,-768.29
2022-02-23,601329.74,0.3501,1329.74
2022-02-24,593962.58,-1.2251,-6037.42
2022-02-25,597036.96,0.5176,-2963.04
2022-02-28,595463.17,-0.2636,-4536.83
2022-03-01,598198.37,0.4593,-1801.63
2022-03-02,601746.11,0.5931,1746.11
2022-03-03,604710.04,0.4926,4710.04
2022-03-04,600526.97,-0.6917,526.97
2022-03-07,598722.55,-0.3005,-1277.45
2022-03-08,590669.03,-1.3451,-9330.97
2022-03-09,587531.46,-0.5312,-12468.54
2022-03-10,592427.36,0.8333,-7572.64
2022-03-11,594356.2,0.3256,-5643.8
2022-03-14,587750.27,-1.1114,-12249.73
2022-03-15,573649.63,-2.3991,-26350.37
2022-03-16,582333.04,1.5137,-17666.96
2022-03-17,584852.41,0.4326,-15147.59
2022-03-18,591223.94,1.0894,-8776.06
2022-03-21,596350.24,0.8671,-3649.76
2022-03-22,597724.87,0.2305,-2275.13
2022-03-23,596945.95,-0.1303,-3054.05
2022-03-24,594341.82,-0.4362,-5658.18
2022-03-25,597095.86,0.4634,-2904.14
2022-03-28,597568.48,0.0792,-2431.52
2022-03-29,595507.8,-0.3448,-4492.2
2022-03-30,598309.93,0.4705,-1690.07
2022-03-31,600955.23,0.4421,955.23
2022-04-01,598511.24,-0.4067,-1488.76
2022-04-06,605032.32,1.0896,5032.32
2022-04-07,598221.63,-1.1257,-1778.37
2022-04-08,597045.69,-0.1966,-2954.31
2022-04-11,591938.08,-0.8555,-8061.92
2022-04-12,598225.35,1.0622,-1774.65
2022-04-13,594420.01,-0.6361,-5579.99
2022-04-14,596951.59,0.4259,-3048.41
2022-04-15,592145.63,-0.8051,-7854.37
2022-04-18,593226.38,0.1825,-6773.62
