date,nav,涨幅%
2026-09-01,5988729.96,
2026-09-02,5960628.2,-0.4692
2026-09-03,5919101.03,-0.6967
2026-09-04,5938328.43,0.3248
2026-09-07,5973045.14,0.5846
2026-09-08,6055933.02,1.3877
2026-09-09,6036858.86,-0.315
2026-09-10,5970625.79,-1.0971
2026-09-11,5860719.31,-1.8408
2026-09-14,5889206.04,0.4861
2026-09-15,5768234.03,-2.0541
2026-09-16,5820795.24,0.9112
2026-09-17,5845928.01,0.4318
2026-09-18,5878782.08,0.562
2026-09-21,6002533.56,2.1051
2026-09-22,6019514.5,0.2829
2026-09-23,5986722.29,-0.5448
2026-09-24,5971619.35,-0.2523
